auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,quote_id,quote_model
0,20190713,5,30,4,62410.0,6,0,4175,0
0,20190529,1,30,14,83630.0,6,0,4175,0
0,20190518,5,37,4,109610.0,6,0,4175,0
0,20190329,11,30,14,63640.0,6,0,4175,0
0,20190329,11,43,14,44060.0,6,0,4175,0
0,20190308,0,30,14,149700.0,6,0,4175,0
0,20190117,30,31,14,171890.0,8,0,4175,0
0,20190117,35,30,3,60900.0,6,0,4175,0
0,20190117,35,30,3,65810.0,6,0,4175,0
0,20190117,35,30,3,88400.0,6,0,4175,0
0,20181208,18,30,14,54690.0,6,0,4175,0
0,20181124,5,37,4,71350.0,6,0,4175,0
0,20180928,37,37,17,116060.0,2,0,4175,0
0,20180908,12,38,3,105470.0,6,0,4175,0
0,20180902,1,30,14,83360.0,2,0,4175,0
0,20180824,23,30,14,86660.0,2,0,4175,0
0,20180707,16,41,0,57220.0,2,0,2,0
0,20180511,22,48,3,230000.0,6,0,2,0
0,20180309,0,30,10,53630.0,6,0,2,0
0,20180310,0,30,14,93410.0,6,0,2,0
0,20180208,26,32,3,77080.0,6,0,2,0
0,20180119,35,30,10,60740.0,6,0,2,0
0,20180208,26,42,3,94300.0,2,0,2,0
0,20180119,35,30,10,71980.0,6,0,2,0
0,20171202,27,30,5,52800.0,5,0,2,0
0,20171125,5,44,4,67270.0,2,0,2,0
0,20171006,15,40,3,172500.0,6,0,2,0
0,20170910,8,49,3,126500.0,2,0,2,0
0,20170818,28,21,10,74830.0,2,0,2,0
0,20170818,28,12,10,173040.0,6,0,2,0
0,20170604,13,30,3,57800.0,2,0,2,0
0,20170309,0,30,3,48750.0,2,0,2,0
0,20170209,26,30,3,97130.0,6,0,3,0
0,20170209,26,46,3,73440.0,6,0,3,0
0,20170118,35,30,19,103430.0,6,0,3,0
0,20170119,30,41,14,78980.0,6,0,3,0
0,20161125,21,52,14,67200.0,1,0,3,0
0,20161126,5,45,4,69368.0,6,0,3,0
0,20161106,20,47,12,79200.0,2,0,3,0
0,20161007,15,48,3,230000.0,2,0,3,0
0,20161003,29,30,3,39160.0,1,0,3,0
0,20160821,28,30,10,151000.0,2,0,3,0
0,20160821,28,30,10,184500.0,7,0,3,0
0,20160819,7,26,3,58300.0,2,0,3,0
0,20160819,7,24,3,92500.0,6,0,3,0
0,20160709,16,42,0,65560.0,6,0,3,0
0,20160702,20,42,6,69600.0,2,0,3,0
0,20160624,12,28,3,118500.0,6,0,3,0
0,20160612,2,30,18,67280.0,6,0,4,0
0,20160528,19,41,9,99350.0,2,0,4,0
0,20160514,22,30,14,156800.0,6,0,4,0
0,20160423,40,19,13,89180.0,6,0,4,0
0,20160320,12,42,3,122730.0,6,0,4,0
0,20160320,10,30,12,60000.0,2,0,4,0
0,20160319,39,30,3,98900.0,6,0,4,0
0,20160312,0,30,14,183150.0,7,0,4,0
0,20160204,26,51,3,89700.0,2,0,4,0
0,20151128,40,9,13,59531.0,2,0,4,0
0,20151128,5,10,4,53420.0,6,0,4,0
0,20150912,12,3,3,163020.0,6,0,4,0
0,20150905,3,5,3,70860.0,6,0,4,0
0,20150814,7,4,3,88620.0,2,0,4,0
0,20150626,12,38,3,93800.0,6,0,4,0
0,20150523,36,2,17,12343.0,6,0,4,0
0,20150328,39,42,3,104075.0,2,0,5,0
0,20150116,35,14,10,71780.0,6,0,5,0
0,20150115,35,14,3,89260.0,6,0,5,0
0,20150115,35,22,3,75160.0,6,0,5,0
0,20140908,17,23,14,111812.0,6,0,5,0
0,20140906,3,7,3,53150.0,6,0,5,0
0,20140308,5,11,4,84181.0,6,0,5,0
0,20140308,5,13,4,3599.0,2,0,5,0
0,20140206,26,0,3,33350.0,2,0,5,0
0,20131013,10,6,12,12509.0,2,0,5,0
0,20130914,12,33,3,54768.0,1,0,5,0
0,20130907,3,53,3,46470.0,2,0,5,0
0,20130722,22,30,0,24570.0,2,0,5,0
0,20130610,26,1,0,22863.0,6,0,5,0
0,20130525,38,30,3,105800.0,6,0,5,0
0,20130505,4,30,15,26400.0,1,0,5,0
0,20120908,3,39,3,31625.0,2,0,6,0
0,20120616,25,38,3,28584.0,1,0,6,0
0,20120511,22,35,3,41400.0,6,0,6,0
0,20120218,5,27,4,4635.0,9,0,6,0
0,20120202,26,16,3,50600.0,2,0,6,0
0,20111030,26,16,0,23000.0,5,0,6,0
0,20110701,12,28,3,25520.0,6,0,6,0
0,20110701,12,8,3,73080.0,0,0,6,0
0,20110613,26,50,0,27000.0,1,0,6,0
0,20110613,26,34,0,44000.0,2,0,6,0
0,20100721,6,18,11,41140.0,7,0,6,0
0,20100430,22,14,7,16000.0,4,0,6,0
0,20100306,14,25,3,12100.0,1,0,6,0
0,20100123,26,14,3,30000.0,2,0,6,0
0,20090608,31,14,16,18000.0,1,0,6,0
0,20090308,25,18,3,26400.0,2,0,6,0
0,20090713,9,14,0,33000.0,7,0,7,0
0,20090208,26,20,0,18000.0,1,0,7,0
0,20071216,10,17,12,27000.0,2,0,7,0
0,20071023,34,15,2,22880.0,6,0,7,0
0,20070630,33,33,8,60000.0,3,0,7,0
0,20061005,5,38,1,21900.0,6,0,7,0
0,20060726,6,38,11,21000.0,2,0,7,0
0,20060722,24,36,7,37000.0,7,0,7,0
0,20060707,12,38,3,8250.0,1,0,7,0
0,20060402,10,15,12,25000.0,6,0,7,0
0,20090314,32,29,15,9800.0,4,0,7,0
